ID_Cliente,Cod_Cliente,Desc_Cliente,Cod_Cidade,Desc_Cidade,Cod_Estado,Desc_Estado,Cod_Regiao,Desc_Regiao,Cod_Segmento,Desc_Segmento
15,33726329749,Rainha Supermercados Campo Grande,Campo Grande,Campo Grande,MS,Mato Grosso do Sul,Centro Oeste,Centro Oeste,Supermercados,Supermercados
16,3759651739,BIG Burger Brasília,Brasília,Brasília,DF,Distrito Federal,Centro Oeste,Centro Oeste,Lanchonetes,Lanchonetes
17,3760238300,Supermercados Bom e Barato Curitiba,Curitiba,Curitiba,PR,Paraná,Sul,Sul,Supermercados,Supermercados
18,38496275787,Rede Posto Mania Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Sudeste,Lojas de Conveniência,Lojas de Conveniência
19,43390129715,Max Drogas Porto Alegre,Porto Alegre,Porto Alegre,RS,Rio Grande do Sul,Sul,Sul,Farmácias,Farmácias
20,44257562749,BIG Burger Goiais,Goiais,Goiais,GO,Goiais,Centro Oeste,Centro Oeste,Lanchonetes,Lanchonetes
21,44646550768,Posto Aurora Santos,Santos,Santos,SP,São Paulo,Sudeste,Sudeste,Lojas de Conveniência,Lojas de Conveniência
22,46118837449,Rede Nacional Postos Belo Horizonte,Belo Horizonte,Belo Horizonte,MG,Minas Gerais,Sudeste,Sudeste,Lojas de Conveniência,Lojas de Conveniência
23,46619968791,Rede Nacional Postos Campo Grande,Campo Grande,Campo Grande,MS,Mato Grosso do Sul,Centro Oeste,Centro Oeste,Lojas de Conveniência,Lojas de Conveniência
24,47268018720,Crepes da Chapa Goiais,Goiais,Goiais,GO,Goiais,Centro Oeste,Centro Oeste,Lanchonetes,Lanchonetes
25,49609165753,Rede Nacional Postos Curitiba,Curitiba,Curitiba,PR,Paraná,Sul,Sul,Lojas de Conveniência,Lojas de Conveniência
26,5194978723,Drogarias Santa Efigênia Curitiba,Curitiba,Curitiba,PR,Paraná,Sul,Sul,Farmácias,Farmácias
27,5427963766,Tem de Tudo Lojas São Paulo,São Paulo,São Paulo,SP,São Paulo,Sudeste,Sudeste,Lojas de Conveniência,Lojas de Conveniência
28,621950777,Pizzas na Tábua Belo Horizonte,Belo Horizonte,Belo Horizonte,MG,Minas Gerais,Sudeste,Sudeste,Lanchonetes,Lanchonetes
29,64009319372,Lanche Rápido e Barato Porto Alegre,Porto Alegre,Porto Alegre,RS,Rio Grande do Sul,Sul,Sul,Lanchonetes,Lanchonetes
30,64113060797,Dogão e CIA Campo Grande,Campo Grande,Campo Grande,MS,Mato Grosso do Sul,Centro Oeste,Centro Oeste,Lanchonetes,Lanchonetes
31,66631300720,Tem de Tudo Supermercados Belo Horizonte,Belo Horizonte,Belo Horizonte,MG,Minas Gerais,Sudeste,Sudeste,Supermercados,Supermercados
32,6964705783,Rede Posto Mania Salvador,Salvador,Salvador,BH,Bahia,Nordeste,Nordeste,Lojas de Conveniência,Lojas de Conveniência
33,7053899799,Rede Drogas Brasil São Paulo,São Paulo,São Paulo,SP,São Paulo,Sudeste,Sudeste,Farmácias,Farmácias
34,7129236752,Parnaiba Lanches Campinas,Campinas,Campinas,SP,São Paulo,Sudeste,Sudeste,Lanchonetes,Lanchonetes
35,7150192793,DrogaFast Farmácias Niterói,Niterói,Niterói,RJ,Rio de Janeiro,Sudeste,Sudeste,Farmácias,Farmácias
36,72629274772,Super Mania Porto Alegre,Porto Alegre,Porto Alegre,RS,Rio Grande do Sul,Sul,Sul,Lanchonetes,Lanchonetes
37,7317856738,Rede Nacional Postos Campinas,Campinas,Campinas,SP,São Paulo,Sudeste,Sudeste,Lojas de Conveniência,Lojas de Conveniência
38,75445719715,Rede Posto Mania Brasília,Brasília,Brasília,DF,Distrito Federal,Centro Oeste,Centro Oeste,Lojas de Conveniência,Lojas de Conveniência
39,76815463753,Rede Posto Mania Campo Grande,Campo Grande,Campo Grande,MS,Mato Grosso do Sul,Centro Oeste,Centro Oeste,Lojas de Conveniência,Lojas de Conveniência
40,77126718772,DrogaFast Farmácias Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Sudeste,Farmácias,Farmácias
41,77842952787,Tem de Tudo Lojas Brasília,Brasília,Brasília,DF,Distrito Federal,Centro Oeste,Centro Oeste,Lojas de Conveniência,Lojas de Conveniência
42,78623359704,Max Drogas Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Sudeste,Farmácias,Farmácias
43,80683215787,Tem de Tudo Lojas Goiais,Goiais,Goiais,GO,Goiais,Centro Oeste,Centro Oeste,Lojas de Conveniência,Lojas de Conveniência
44,81034342720,Supermercados Bom e Barato Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Sudeste,Supermercados,Supermercados
45,82236119704,Delícias Lanches Porto Alegre,Porto Alegre,Porto Alegre,RS,Rio Grande do Sul,Sul,Sul,Lanchonetes,Lanchonetes
46,82393222715,Multi Sucos Curitiba,Curitiba,Curitiba,PR,Paraná,Sul,Sul,Lanchonetes,Lanchonetes
47,8268254785,Big Super Pizzas Campinas,Campinas,Campinas,SP,São Paulo,Sudeste,Sudeste,Lanchonetes,Lanchonetes
48,84490438753,Rede Drogas Brasil Brasília,Brasília,Brasília,DF,Distrito Federal,Centro Oeste,Centro Oeste,Farmácias,Farmácias
49,8664533776,DrogaFast Farmácias Porto Alegre,Porto Alegre,Porto Alegre,RS,Rio Grande do Sul,Sul,Sul,Farmácias,Farmácias
50,87549999791,Drogas Super Brasília,Brasília,Brasília,DF,Distrito Federal,Centro Oeste,Centro Oeste,Farmácias,Farmácias
51,887713777,Rainha Supermercados Brasília,Brasília,Brasília,DF,Distrito Federal,Centro Oeste,Centro Oeste,Supermercados,Supermercados
52,90005511704,Rainha Supermercados Campinas,Campinas,Campinas,SP,São Paulo,Sudeste,Sudeste,Supermercados,Supermercados
53,90830636749,Rede Posto Mania São Paulo,São Paulo,São Paulo,SP,São Paulo,Sudeste,Sudeste,Lojas de Conveniência,Lojas de Conveniência
54,91988802768,Rede Posto Mania Curitiba,Curitiba,Curitiba,PR,Paraná,Sul,Sul,Lojas de Conveniência,Lojas de Conveniência
55,9594349760,Rede Nacional Postos Brasília,Brasília,Brasília,DF,Distrito Federal,Centro Oeste,Centro Oeste,Lojas de Conveniência,Lojas de Conveniência
56,9824868712,Rainha Supermercados Salvador,Salvador,Salvador,BH,Bahia,Nordeste,Nordeste,Supermercados,Supermercados
57,99010968715,Drogas Super Campo Grande,Campo Grande,Campo Grande,MS,Mato Grosso do Sul,Centro Oeste,Centro Oeste,Farmácias,Farmácias
